1,2,3,4,5,6,7,8,9,10
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather: Part II, The (1974)",One Flew Over the Cuckoo's Nest (1975),Apocalypse Now (1979),Alien (1979),Raiders of the Lost Ark (1981),M*A*S*H (1970),Chinatown (1974),Psycho (1960),"Clockwork Orange, A (1971)"
"Shawshank Redemption, The (1994)",Back to the Future (1985),"Boot, Das (1981)","Empire Strikes Back, The (1980)",French Kiss (1995),Groundhog Day (1993),Ben-Hur (1959),Sense and Sensibility (1995),Raising Arizona (1987),Braveheart (1995)
Schindler's List (1993),Star Wars (1977),One Flew Over the Cuckoo's Nest (1975),"Manchurian Candidate, The (1962)","Usual Suspects, The (1995)",Raiders of the Lost Ark (1981),Lone Star (1996),L.A. Confidential (1997),Taxi Driver (1976),"Shawshank Redemption, The (1994)"
Sense and Sensibility (1995),Secrets & Lies (1996),"Godfather, The (1972)",Cold Comfort Farm (1995),"Boot, Das (1981)",Return of the Jedi (1983),Breaking the Waves (1996),"Celluloid Closet, The (1995)",When We Were Kings (1996),"Full Monty, The (1997)"
Good Will Hunting (1997),Titanic (1997),"Devil's Advocate, The (1997)",As Good As It Gets (1997),Fargo (1996),Fly Away Home (1996),Apt Pupil (1998),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Full Monty, The (1997)",Dead Man Walking (1995)
Star Wars (1977),"Godfather, The (1972)",Blade Runner (1982),Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Secrets & Lies (1996),Strictly Ballroom (1992),"Silence of the Lambs, The (1991)",Chinatown (1974)
Contact (1997),Star Wars (1977),"Godfather, The (1972)",Leaving Las Vegas (1995),"Boot, Das (1981)",Toy Story (1995),Secrets & Lies (1996),Twelve Monkeys (1995),Kolya (1996),Return of the Jedi (1983)
One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)",Casablanca (1942),"Bridge on the River Kwai, The (1957)",Fargo (1996),"Graduate, The (1967)","Close Shave, A (1995)",Schindler's List (1993),Amadeus (1984),Lawrence of Arabia (1962)
Cinema Paradiso (1988),Titanic (1997),Event Horizon (1997),Dead Man Walking (1995),"Peacemaker, The (1997)",Chasing Amy (1997),Desperate Measures (1998),Paradise Lost: The Child Murders at Robin Hood Hills (1996),Private Parts (1997),I Know What You Did Last Summer (1997)
Contact (1997),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Blade Runner (1982),Dead Man Walking (1995),"Full Monty, The (1997)","Close Shave, A (1995)",Much Ado About Nothing (1993),Sling Blade (1996),Fargo (1996)
"Godfather, The (1972)",Contact (1997),Schindler's List (1993),Monty Python and the Holy Grail (1974),North by Northwest (1959),Babe (1995),Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Casablanca (1942),Rear Window (1954)
"Godfather, The (1972)",Die Hard (1988),"Godfather: Part II, The (1974)",Contact (1997),Blade Runner (1982),"Terminator, The (1984)",Platoon (1986),Casablanca (1942),North by Northwest (1959),"African Queen, The (1951)"
Rosewood (1997),G.I. Jane (1997),L.A. Confidential (1997),"Full Monty, The (1997)",Apt Pupil (1998),Amistad (1997),Eve's Bayou (1997),Ulee's Gold (1997),As Good As It Gets (1997),Love Jones (1997)
Raiders of the Lost Ark (1981),Return of the Jedi (1983),"Empire Strikes Back, The (1980)","Godfather, The (1972)","Fugitive, The (1993)",Aladdin (1992),Psycho (1960),Air Force One (1997),Casablanca (1942),Babe (1995)
"Godfather, The (1972)",Titanic (1997),Raiders of the Lost Ark (1981),L.A. Confidential (1997),Casablanca (1942),"Usual Suspects, The (1995)",Terminator 2: Judgment Day (1991),Private Parts (1997),Jerry Maguire (1996),Mighty Aphrodite (1995)
Contact (1997),"Postino, Il (1994)",Lone Star (1996),Phenomenon (1996),"People vs. Larry Flynt, The (1996)",Swingers (1996),"Shawshank Redemption, The (1994)",Kolya (1996),Good Will Hunting (1997),"Silence of the Lambs, The (1991)"
"Godfather, The (1972)",Secrets & Lies (1996),L.A. Confidential (1997),"Postino, Il (1994)",When We Were Kings (1996),Dead Man Walking (1995),Good Will Hunting (1997),Apt Pupil (1998),"Shawshank Redemption, The (1994)",Leaving Las Vegas (1995)
Star Wars (1977),"Godfather, The (1972)",Raiders of the Lost Ark (1981),Amadeus (1984),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Boot, Das (1981)","Clockwork Orange, A (1971)",2001: A Space Odyssey (1968),Cool Hand Luke (1967),Full Metal Jacket (1987)
Raiders of the Lost Ark (1981),Air Force One (1997),"Princess Bride, The (1987)",Terminator 2: Judgment Day (1991),Casablanca (1942),Alien (1979),Toy Story (1995),Men in Black (1997),"Wizard of Oz, The (1939)",2001: A Space Odyssey (1968)
Fargo (1996),Everyone Says I Love You (1996),"Silence of the Lambs, The (1991)",Schindler's List (1993),Kolya (1996),Casablanca (1942),Big Night (1996),"Boot, Das (1981)","Shawshank Redemption, The (1994)",Citizen Kane (1941)
Blade Runner (1982),"Silence of the Lambs, The (1991)",Amadeus (1984),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Monty Python and the Holy Grail (1974),Rosencrantz and Guildenstern Are Dead (1990),Dead Poets Society (1989),Toy Story (1995),Fargo (1996)
Star Wars (1977),Fargo (1996),"Silence of the Lambs, The (1991)",E.T. the Extra-Terrestrial (1982),Dead Man Walking (1995),"People vs. Larry Flynt, The (1996)",Amadeus (1984),Schindler's List (1993),Raise the Red Lantern (1991),Secrets & Lies (1996)
Sabrina (1995),"Sting, The (1973)",Air Force One (1997),Conspiracy Theory (1997),L.A. Confidential (1997),"Fifth Element, The (1997)","Shawshank Redemption, The (1994)","Bridge on the River Kwai, The (1957)",Tombstone (1993),"Godfather, The (1972)"
"Full Monty, The (1997)",Apt Pupil (1998),L.A. Confidential (1997),Jackie Brown (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Amistad (1997),Soul Food (1997),Face/Off (1997),Dead Man Walking (1995),"Time to Kill, A (1996)"
Star Wars (1977),L.A. Confidential (1997),One Flew Over the Cuckoo's Nest (1975),"People vs. Larry Flynt, The (1996)",Bottle Rocket (1996),"Birdcage, The (1996)",When We Were Kings (1996),Schindler's List (1993),Twelve Monkeys (1995),Lost Highway (1997)
"Silence of the Lambs, The (1991)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Taxi Driver (1976),Psycho (1960),Apocalypse Now (1979),2001: A Space Odyssey (1968),Lone Star (1996),Blade Runner (1982),"Usual Suspects, The (1995)",Raiders of the Lost Ark (1981)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),Indiana Jones and the Last Crusade (1989),Sense and Sensibility (1995),Brazil (1985),Reservoir Dogs (1992),"Shining, The (1980)",As Good As It Gets (1997),"Blues Brothers, The (1980)","Third Man, The (1949)"
"Godfather, The (1972)",Apollo 13 (1995),Casablanca (1942),"Boot, Das (1981)",Star Trek: First Contact (1996),"Shawshank Redemption, The (1994)",Braveheart (1995),"Terminator, The (1984)",Field of Dreams (1989),"Usual Suspects, The (1995)"
Contact (1997),L.A. Confidential (1997),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)","Sting, The (1973)",Rear Window (1954),Annie Hall (1977),"Silence of the Lambs, The (1991)",Harold and Maude (1971),Dead Man Walking (1995)
Pulp Fiction (1994),L.A. Confidential (1997),Titanic (1997),Twelve Monkeys (1995),Toy Story (1995),Good Will Hunting (1997),"Empire Strikes Back, The (1980)",Secrets & Lies (1996),Clerks (1994),Seven (Se7en) (1995)
"Godfather, The (1972)",Independence Day (ID4) (1996),Apt Pupil (1998),"Devil's Advocate, The (1997)",Good Will Hunting (1997),Rosewood (1997),L.A. Confidential (1997),GoodFellas (1990),One Flew Over the Cuckoo's Nest (1975),Toy Story (1995)
Contact (1997),"Boot, Das (1981)","Rock, The (1996)","Devil's Own, The (1997)",Fly Away Home (1996),Twelve Monkeys (1995),Men in Black (1997),"Close Shave, A (1995)",Good Will Hunting (1997),Glory (1989)
L.A. Confidential (1997),Good Will Hunting (1997),Star Wars (1977),Chasing Amy (1997),"Big Lebowski, The (1998)",Boogie Nights (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Mr. Holland's Opus (1995),Apt Pupil (1998),Kiss the Girls (1997)
Contact (1997),Sense and Sensibility (1995),"Rock, The (1996)",Secrets & Lies (1996),Fargo (1996),"Usual Suspects, The (1995)","English Patient, The (1996)","Godfather, The (1972)",Titanic (1997),Air Force One (1997)
"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)","Silence of the Lambs, The (1991)",Fargo (1996),"Princess Bride, The (1987)",Apocalypse Now (1979),"Clockwork Orange, A (1971)",Die Hard (1988),Monty Python and the Holy Grail (1974),Reservoir Dogs (1992)
Blade Runner (1982),Much Ado About Nothing (1993),Fantasia (1940),"Graduate, The (1967)",Sling Blade (1996),Brazil (1985),"Close Shave, A (1995)",This Is Spinal Tap (1984),North by Northwest (1959),Lawrence of Arabia (1962)
Contact (1997),Mr. Holland's Opus (1995),Titanic (1997),One Flew Over the Cuckoo's Nest (1975),"Full Monty, The (1997)",French Kiss (1995),"Princess Bride, The (1987)","Time to Kill, A (1996)",Scream (1996),Sense and Sensibility (1995)
"Silence of the Lambs, The (1991)","Godfather, The (1972)",Die Hard (1988),"Shawshank Redemption, The (1994)",Mystery Science Theater 3000: The Movie (1996),"Blues Brothers, The (1980)",Secrets & Lies (1996),Air Force One (1997),Henry V (1989),Amistad (1997)
Star Wars (1977),Schindler's List (1993),Dead Man Walking (1995),Toy Story (1995),Forrest Gump (1994),"Usual Suspects, The (1995)",Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)","Lion King, The (1994)"
Star Wars (1977),Pulp Fiction (1994),Citizen Kane (1941),Secrets & Lies (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Taxi Driver (1976),To Kill a Mockingbird (1962),Lawrence of Arabia (1962),"Boot, Das (1981)","Graduate, The (1967)"
Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Rear Window (1954),Sling Blade (1996),Chasing Amy (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Highlander (1986),"Maltese Falcon, The (1941)",Cool Hand Luke (1967)
Dead Man Walking (1995),"Godfather, The (1972)",Leaving Las Vegas (1995),Star Wars (1977),Amadeus (1984),Monty Python and the Holy Grail (1974),"Empire Strikes Back, The (1980)",Schindler's List (1993),2001: A Space Odyssey (1968),Taxi Driver (1976)
L.A. Confidential (1997),Raging Bull (1980),Star Trek: First Contact (1996),Singin' in the Rain (1952),"Great Escape, The (1963)",As Good As It Gets (1997),Sabrina (1954),Secrets & Lies (1996),Gandhi (1982),Butch Cassidy and the Sundance Kid (1969)
L.A. Confidential (1997),Good Will Hunting (1997),Cold Comfort Farm (1995),"Godfather, The (1972)",Apt Pupil (1998),Star Wars (1977),"English Patient, The (1996)",Fargo (1996),Midnight in the Garden of Good and Evil (1997),G.I. Jane (1997)
Monty Python and the Holy Grail (1974),Air Force One (1997),Contact (1997),L.A. Confidential (1997),"Birds, The (1963)",Star Trek: The Wrath of Khan (1982),"Devil's Own, The (1997)",Amadeus (1984),As Good As It Gets (1997),Rear Window (1954)
Scream 2 (1997),As Good As It Gets (1997),Kiss the Girls (1997),Sense and Sensibility (1995),"Rainmaker, The (1997)",Kolya (1996),Starship Troopers (1997),Alien: Resurrection (1997),Fly Away Home (1996),Star Kid (1997)
Star Wars (1977),Return of the Jedi (1983),Contact (1997),My Best Friend's Wedding (1997),Leaving Las Vegas (1995),Courage Under Fire (1996),"Truth About Cats & Dogs, The (1996)",Schindler's List (1993),Titanic (1997),"Spitfire Grill, The (1996)"
Terminator 2: Judgment Day (1991),"Empire Strikes Back, The (1980)","Silence of the Lambs, The (1991)",Return of the Jedi (1983),Henry V (1989),Twelve Monkeys (1995),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Pulp Fiction (1994),One Flew Over the Cuckoo's Nest (1975)
Star Wars (1977),"Godfather, The (1972)",Return of the Jedi (1983),Contact (1997),Mr. Holland's Opus (1995),Air Force One (1997),"Boot, Das (1981)",Courage Under Fire (1996),Pulp Fiction (1994),Twister (1996)
Star Wars (1977),Titanic (1997),Schindler's List (1993),"Shawshank Redemption, The (1994)",Casablanca (1942),Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Good Will Hunting (1997),Rear Window (1954),Kolya (1996)
Star Wars (1977),Fargo (1996),Leaving Las Vegas (1995),Return of the Jedi (1983),Chasing Amy (1997),Lost Highway (1997),Brassed Off (1996),Deconstructing Harry (1997),Secrets & Lies (1996),Raise the Red Lantern (1991)
"Godfather, The (1972)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),2001: A Space Odyssey (1968),"Usual Suspects, The (1995)",Monty Python and the Holy Grail (1974),"Godfather: Part II, The (1974)",Cool Hand Luke (1967),Chinatown (1974),"Good, The Bad and The Ugly, The (1966)"
One Flew Over the Cuckoo's Nest (1975),Apocalypse Now (1979),Blade Runner (1982),Citizen Kane (1941),Lawrence of Arabia (1962),"Bridge on the River Kwai, The (1957)",Men in Black (1997),Hoop Dreams (1994),Reservoir Dogs (1992),Young Frankenstein (1974)
"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)","Empire Strikes Back, The (1980)",Dances with Wolves (1990),Ben-Hur (1959),Good Will Hunting (1997),Fargo (1996),"Hunt for Red October, The (1990)","Princess Bride, The (1987)",E.T. the Extra-Terrestrial (1982)
"Shawshank Redemption, The (1994)",Indiana Jones and the Last Crusade (1989),Alien (1979),"Wrong Trousers, The (1993)",Blade Runner (1982),"Usual Suspects, The (1995)",Monty Python and the Holy Grail (1974),Terminator 2: Judgment Day (1991),Raging Bull (1980),Paradise Lost: The Child Murders at Robin Hood Hills (1996)
"Silence of the Lambs, The (1991)",Braveheart (1995),"Godfather, The (1972)",Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)","Terminator, The (1984)",Blade Runner (1982),Indiana Jones and the Last Crusade (1989),Schindler's List (1993)
"Blues Brothers, The (1980)",Schindler's List (1993),"Godfather: Part II, The (1974)",Amadeus (1984),Glory (1989),Willy Wonka and the Chocolate Factory (1971),Chasing Amy (1997),Trainspotting (1996),Casablanca (1942),Young Frankenstein (1974)
Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Air Force One (1997),Fargo (1996),Raiders of the Lost Ark (1981),Braveheart (1995),Dead Man Walking (1995),Good Will Hunting (1997),"Godfather: Part II, The (1974)"
"Boot, Das (1981)",Apt Pupil (1998),"Usual Suspects, The (1995)",Pulp Fiction (1994),"Close Shave, A (1995)",Raise the Red Lantern (1991),"Shawshank Redemption, The (1994)",Terminator 2: Judgment Day (1991),Raiders of the Lost Ark (1981),Brassed Off (1996)
Blade Runner (1982),"Godfather, The (1972)",Schindler's List (1993),Pulp Fiction (1994),"Usual Suspects, The (1995)",Apocalypse Now (1979),"Silence of the Lambs, The (1991)",Jaws (1975),Lawrence of Arabia (1962),Brazil (1985)
Apt Pupil (1998),Amistad (1997),"Full Monty, The (1997)",Star Wars (1977),As Good As It Gets (1997),Boogie Nights (1997),Fargo (1996),"Ice Storm, The (1997)",Air Force One (1997),Kolya (1996)
"Godfather, The (1972)",Star Wars (1977),"Silence of the Lambs, The (1991)",Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),M*A*S*H (1970),"Princess Bride, The (1987)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Reservoir Dogs (1992),Psycho (1960)
"Silence of the Lambs, The (1991)",Nikita (La Femme Nikita) (1990),"Godfather, The (1972)",Fargo (1996),"Wrong Trousers, The (1993)",Schindler's List (1993),Raiders of the Lost Ark (1981),Amadeus (1984),Good Will Hunting (1997),Alien (1979)
Schindler's List (1993),Titanic (1997),Casablanca (1942),L.A. Confidential (1997),Dances with Wolves (1990),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Alien (1979),"Fugitive, The (1993)",Platoon (1986)
Titanic (1997),Trainspotting (1996),Swingers (1996),Indiana Jones and the Last Crusade (1989),"Fugitive, The (1993)","Hunt for Red October, The (1990)",L.A. Confidential (1997),Schindler's List (1993),Apollo 13 (1995),Aladdin (1992)
G.I. Jane (1997),L.A. Confidential (1997),Air Force One (1997),Contact (1997),Chasing Amy (1997),"Full Monty, The (1997)",Gattaca (1997),Eve's Bayou (1997),Cop Land (1997),Scream 2 (1997)
Titanic (1997),Rear Window (1954),To Kill a Mockingbird (1962),"Hunt for Red October, The (1990)",Patton (1970),"Godfather: Part II, The (1974)",Young Frankenstein (1974),"Right Stuff, The (1983)",Lawrence of Arabia (1962),While You Were Sleeping (1995)
Braveheart (1995),Rear Window (1954),Contact (1997),Indiana Jones and the Last Crusade (1989),Raiders of the Lost Ark (1981),Casablanca (1942),"Usual Suspects, The (1995)",Star Trek: First Contact (1996),"Princess Bride, The (1987)",It's a Wonderful Life (1946)
Amistad (1997),"Celluloid Closet, The (1995)",As Good As It Gets (1997),Love Jones (1997),Raise the Red Lantern (1991),Kolya (1996),Lost Highway (1997),Fly Away Home (1996),Jackie Brown (1997),Chasing Amy (1997)
Titanic (1997),Good Will Hunting (1997),Contact (1997),Boogie Nights (1997),"Ice Storm, The (1997)",Eve's Bayou (1997),Wag the Dog (1997),Star Wars (1977),"Rainmaker, The (1997)",Fly Away Home (1996)
"Postino, Il (1994)",Star Wars (1977),"Godfather, The (1972)",Lone Star (1996),Return of the Jedi (1983),"Boot, Das (1981)",Air Force One (1997),"English Patient, The (1996)",Big Night (1996),Jerry Maguire (1996)
Titanic (1997),Leaving Las Vegas (1995),"Spitfire Grill, The (1996)",Lawrence of Arabia (1962),"Full Monty, The (1997)",Bottle Rocket (1996),Face/Off (1997),North by Northwest (1959),"Usual Suspects, The (1995)",Rosewood (1997)
Titanic (1997),"Princess Bride, The (1987)",Casablanca (1942),Schindler's List (1993),Twelve Monkeys (1995),"Close Shave, A (1995)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),North by Northwest (1959),It's a Wonderful Life (1946),"African Queen, The (1951)"
